id,mu_global,mu_source1,mu_source2,issoil,share,seq,su_sym74,su_code74,su_sym85,su_code85,su_sym90,su_code90,t_texture,drainage,ref_depth,awc_class,phase1,phase2,roots,il,swr,add_prop,t_gravel,t_sand,t_silt,t_clay,t_usda_tex_class,t_ref_bulk_density,t_bulk_density,t_oc,t_ph_h2o,t_cec_clay,t_cec_soil,t_bs,t_teb,t_caco3,t_caso4,t_esp,t_ece,s_gravel,s_sand,s_silt,s_clay,s_usda_tex_class,s_ref_bulk_density,s_bulk_density,s_oc,s_ph_h2o,s_cec_clay,s_cec_soil,s_bs,s_teb,s_caco3,s_caso4,s_esp,s_ece
11502,10768,4400492,4401759,1,60.0,1,-9999,-9999,Bgc,26,CMg,69,3,2,100,3,-9999,-9999,1,3,2,0,10,19,32,49,3,1.24,1.31,1.41,5.6,25.0,20.0,74.0,15.6,0.0,0.0,1.0,0.1,24,18,31,51,3,1.23,1.36,0.49,5.7,31.0,21.0,77.0,14.9,0.0,0.0,1.0,0.1
11506,10769,4400493,4401764,1,40.0,1,-9999,-9999,Bgc,26,CMg,69,3,2,100,5,-9999,-9999,1,4,2,0,10,19,32,49,3,1.24,1.31,1.41,5.6,25.0,20.0,74.0,15.6,0.0,0.0,1.0,0.1,24,18,31,51,3,1.23,1.36,0.49,5.7,31.0,21.0,77.0,14.9,0.0,0.0,1.0,0.1
11511,10770,4400494,4401770,1,40.0,1,-9999,-9999,Bgc,26,CMg,69,3,2,100,1,-9999,-9999,0,0,0,0,10,19,32,49,3,1.24,1.31,1.41,5.6,25.0,20.0,74.0,15.6,0.0,0.0,1.0,0.1,24,18,31,51,3,1.23,1.36,0.49,5.7,31.0,21.0,77.0,14.9,0.0,0.0,1.0,0.1
11517,10771,4400495,4401776,1,50.0,1,-9999,-9999,Bgg,28,CMg,69,2,2,100,3,-9999,-9999,1,3,2,0,4,45,36,19,9,1.42,1.41,1.0,6.4,38.0,9.0,85.0,8.2,0.0,0.0,2.0,0.1,18,39,34,27,5,1.36,1.6,0.47,6.7,37.0,11.0,88.0,11.3,0.1,0.0,2.0,0.1
11520,10772,4400496,4401779,1,40.0,1,-9999,-9999,Bgg,28,CMg,69,2,2,100,3,8,-9999,1,3,2,0,4,45,36,19,9,1.42,1.41,1.0,6.4,38.0,9.0,85.0,8.2,0.0,0.0,2.0,0.1,18,39,34,27,5,1.36,1.6,0.47,6.7,37.0,11.0,88.0,11.3,0.1,0.0,2.0,0.1
11523,10773,4400497,4401783,1,50.0,1,-9999,-9999,Bc,9,CMx,66,1,4,100,6,2,-9999,3,1,1,0,5,79,10,11,11,1.57,1.48,0.65,7.1,37.0,7.0,89.0,6.1,5.7,0.0,3.0,0.2,9,74,11,15,11,1.51,1.49,0.2,7.4,39.0,7.0,91.0,7.9,3.9,0.0,2.0,0.2
11527,10774,4400498,4401787,1,70.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11531,10775,4400499,4401791,1,60.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11536,10776,4400500,4401796,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11540,10777,4400501,4401801,1,65.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,2,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11544,10778,4400502,4401806,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11548,10779,4400503,4401811,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,3,-9999,-9999,1,3,2,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11552,10780,4400504,4401815,1,50.0,1,-9999,-9999,Lo,148,LVh,106,2,4,100,1,-9999,-9999,1,1,1,0,4,41,37,22,9,1.4,1.43,0.74,6.5,47.0,13.0,91.0,11.0,0.0,0.0,1.0,0.1,3,37,34,29,5,1.35,1.51,0.36,6.7,50.0,14.0,93.0,13.1,0.0,0.0,1.0,0.1
11556,10781,4400505,4401820,1,60.0,1,-9999,-9999,Lc,132,LVx,108,2,4,100,3,-9999,-9999,1,3,2,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11562,10782,4400506,4401826,1,60.0,1,-9999,-9999,Lc,132,LVx,108,2,4,100,3,-9999,-9999,1,3,2,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11568,10783,4400508,4401840,1,50.0,1,-9999,-9999,Lc,132,LVx,108,2,3,100,5,2,-9999,2,1,1,0,12,48,28,24,9,1.4,1.53,0.83,6.3,39.0,12.0,88.0,10.0,0.0,0.0,1.0,0.1,8,41,25,34,5,1.33,1.51,0.4,6.4,41.0,15.0,90.0,12.0,0.0,0.0,1.0,0.1
11574,10784,4400509,4401849,1,35.0,1,-9999,-9999,Lo,148,CMd,63,1,5,100,3,-9999,-9999,1,1,1,0,10,75,15,10,11,1.58,1.49,0.7,5.1,21.0,5.0,28.0,1.5,0.0,0.0,5.0,0.1,9,68,17,15,11,1.51,1.5,0.27,5.0,31.0,5.0,36.0,1.4,0.0,0.0,5.0,0.1
11579,10785,4400510,4401852,1,55.0,1,-9999,-9999,Lg,139,LVg,113,2,2,100,1,-9999,-9999,1,1,2,0,5,47,29,24,9,1.39,1.54,0.83,6.3,46.0,16.0,93.0,14.9,0.0,0.0,2.0,0.1,6,39,27,34,5,1.33,1.65,0.28,7.0,44.0,16.0,99.0,15.9,0.4,0.0,2.0,0.1
11582,10786,4400511,4401855,1,40.0,1,-9999,-9999,Lg,139,LVg,113,1,2,100,1,-9999,-9999,1,1,2,0,4,80,11,9,12,1.6,1.44,0.63,6.5,54.0,6.0,83.0,6.1,0.1,0.1,2.0,0.1,5,68,10,22,10,1.45,1.55,0.3,6.4,43.0,9.0,80.0,5.9,0.1,0.1,1.0,0.1
11586,10787,4400512,4401859,1,60.0,1,-9999,-9999,Lgs,142,LVj,112,2,2,100,5,-9999,-9999,1,4,3,0,4,37,44,19,9,1.41,1.4,0.99,5.8,48.0,12.0,62.0,8.4,0.0,0.0,1.0,0.1,4,31,38,31,5,1.33,1.6,0.29,5.9,50.0,14.0,83.0,10.2,0.0,0.0,1.0,0.1
11590,10788,4400513,4401866,1,50.0,1,-9999,-9999,Lgs,142,LVj,112,3,2,100,5,-9999,-9999,1,4,3,0,4,25,22,53,3,1.24,1.3,0.93,5.9,39.0,27.0,100.0,23.0,0.0,0.0,4.0,0.1,8,23,21,56,3,1.22,1.32,0.54,6.8,38.0,17.0,100.0,25.9,0.4,0.0,1.0,0.1
11594,10789,4400514,4401871,1,40.0,1,-9999,-9999,Lgs,142,LVj,112,2,2,100,3,-9999,-9999,1,3,3,0,4,37,44,19,9,1.41,1.4,0.99,5.8,48.0,12.0,62.0,8.4,0.0,0.0,1.0,0.1,4,31,38,31,5,1.33,1.6,0.29,5.9,50.0,14.0,83.0,10.2,0.0,0.0,1.0,0.1
11679,10813,4410534,4411958,1,50.0,1,-9999,-9999,U,198,LPu,102,2,3,30,6,-9999,-9999,-9999,-9999,-9999,0,6,49,31,20,9,1.43,1.1,2.4,5.1,34.0,12.0,36.0,4.7,0.0,0.0,4.0,0.1,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11683,10814,4410535,4411962,1,50.0,1,-9999,-9999,Be,18,CMe,62,2,4,100,1,-9999,-9999,1,2,1,0,9,42,36,22,9,1.4,1.37,1.0,6.6,55.0,16.0,93.0,14.0,0.0,0.0,2.0,0.1,12,41,34,25,9,1.38,1.39,0.37,7.0,55.0,15.0,93.0,15.1,0.1,0.0,2.0,0.1
11685,10815,4410536,4411964,1,40.0,1,-9999,-9999,Be,18,CMe,62,1,5,100,3,-9999,-9999,1,1,1,0,10,77,14,9,11,1.6,1.5,0.7,6.9,49.0,7.0,91.0,6.7,0.1,0.0,2.0,0.1,20,67,16,17,11,1.48,1.5,0.4,7.3,48.0,8.0,91.0,9.3,0.1,0.0,2.0,0.1
11688,10816,4410537,4411967,1,60.0,1,-9999,-9999,Bd,14,CMd,63,1,5,100,3,-9999,-9999,1,1,1,0,10,75,15,10,11,1.58,1.49,0.7,5.1,21.0,5.0,28.0,1.5,0.0,0.0,5.0,0.1,9,68,17,15,11,1.51,1.5,0.27,5.0,31.0,5.0,36.0,1.4,0.0,0.0,5.0,0.1
11692,10817,4410538,4411971,1,50.0,1,-9999,-9999,Bds,17,CMd,63,2,4,100,1,-9999,-9999,1,1,1,0,10,42,38,20,9,1.41,1.3,1.45,5.1,32.0,12.0,38.0,4.3,0.0,0.0,2.0,0.1,19,45,35,20,9,1.42,1.36,0.5,5.2,35.0,9.0,33.0,2.6,0.0,0.0,2.0,0.1
11696,10818,4410539,4411975,1,50.0,1,-9999,-9999,Bd,14,CMd,63,1,5,100,3,-9999,-9999,1,1,1,0,10,75,15,10,11,1.58,1.49,0.7,5.1,21.0,5.0,28.0,1.5,0.0,0.0,5.0,0.1,9,68,17,15,11,1.51,1.5,0.27,5.0,31.0,5.0,36.0,1.4,0.0,0.0,5.0,0.1
11700,10819,4410540,4411979,1,40.0,1,-9999,-9999,Bd,14,CMd,63,2,4,100,1,-9999,-9999,1,1,1,0,10,42,38,20,9,1.41,1.3,1.45,5.1,32.0,12.0,38.0,4.3,0.0,0.0,2.0,0.1,19,45,35,20,9,1.42,1.36,0.5,5.2,35.0,9.0,33.0,2.6,0.0,0.0,2.0,0.1
11704,10820,4410541,4411983,1,45.0,1,-9999,-9999,Bds,17,CMd,63,2,3,100,6,2,1,0,0,0,0,10,42,38,20,9,1.41,1.3,1.45,5.1,32.0,12.0,38.0,4.3,0.0,0.0,2.0,0.1,19,45,35,20,9,1.42,1.36,0.5,5.2,35.0,9.0,33.0,2.6,0.0,0.0,2.0,0.1
11709,10821,4410542,4411990,1,50.0,1,-9999,-9999,Lgs,142,LVj,112,2,2,100,1,-9999,-9999,0,0,0,0,4,37,44,19,9,1.41,1.4,0.99,5.8,48.0,12.0,62.0,8.4,0.0,0.0,1.0,0.1,4,31,38,31,5,1.33,1.6,0.29,5.9,50.0,14.0,83.0,10.2,0.0,0.0,1.0,0.1
11715,10822,4410543,4411997,1,40.0,1,-9999,-9999,Po,169,PZh,149,2,4,100,1,-9999,-9999,3,1,1,0,15,50,40,10,9,1.53,1.41,5.27,4.5,89.0,28.0,11.0,5.6,0.0,0.0,1.0,0.1,15,55,35,10,11,1.54,1.44,0.81,5.0,55.0,8.0,13.0,0.8,0.0,0.0,0.0,0.1
11718,10823,4410544,4412000,1,70.0,1,-9999,-9999,Po,169,PZh,149,1,6,100,3,-9999,-9999,3,1,1,0,3,87,9,4,12,1.73,1.4,2.18,4.4,101.0,9.0,11.0,2.6,0.0,0.0,1.0,0.1,4,88,8,4,13,1.74,1.51,0.39,5.0,66.0,2.0,21.0,1.5,0.0,0.0,3.0,0.1
11721,10824,4410545,4412003,1,50.0,1,-9999,-9999,Pp,172,PZf,151,1,6,100,3,-9999,-9999,3,2,4,0,3,86,8,6,12,1.67,1.41,2.02,4.5,78.0,5.0,17.0,2.5,0.0,0.0,0.0,0.1,3,86,6,8,12,1.63,1.57,0.51,5.1,50.0,2.0,21.0,1.5,0.0,0.0,0.0,0.1
11725,10825,4410546,4412007,1,60.0,1,-9999,-9999,Pp,172,PZf,151,1,6,100,4,-9999,-9999,3,3,4,0,3,86,8,6,12,1.67,1.41,2.02,4.5,78.0,5.0,17.0,2.5,0.0,0.0,0.0,0.1,3,86,6,8,12,1.63,1.57,0.51,5.1,50.0,2.0,21.0,1.5,0.0,0.0,0.0,0.1
11728,10826,4410547,4412010,1,50.0,1,-9999,-9999,Pp,172,PZf,151,1,6,100,4,-9999,-9999,3,3,4,0,3,86,8,6,12,1.67,1.41,2.02,4.5,78.0,5.0,17.0,2.5,0.0,0.0,0.0,0.1,3,86,6,8,12,1.63,1.57,0.51,5.1,50.0,2.0,21.0,1.5,0.0,0.0,0.0,0.1
11732,10827,4410548,4412014,1,90.0,1,-9999,-9999,Od,156,HSf,89,3,1,100,1,-9999,-9999,1,1,4,0,1,20,40,40,3,1.26,0.1,33.63,4.3,45.0,77.0,62.0,31.4,0.0,0.0,2.0,0.1,2,47,26,27,10,1.38,0.1,32.89,4.6,71.0,78.0,40.0,27.4,0.0,0.0,1.0,0.1
11735,10828,4410549,4412017,1,50.0,1,-9999,-9999,Od,156,HSf,89,3,1,100,1,-9999,-9999,1,1,4,0,1,20,40,40,3,1.26,0.1,33.63,4.3,45.0,77.0,62.0,31.4,0.0,0.0,2.0,0.1,2,47,26,27,10,1.38,0.1,32.89,4.6,71.0,78.0,40.0,27.4,0.0,0.0,1.0,0.1
11740,10829,4410550,4412022,1,40.0,1,-9999,-9999,Od,156,HSf,89,3,1,100,1,-9999,-9999,1,1,4,0,1,20,40,40,3,1.26,0.1,33.63,4.3,45.0,77.0,62.0,31.4,0.0,0.0,2.0,0.1,2,47,26,27,10,1.38,0.1,32.89,4.6,71.0,78.0,40.0,27.4,0.0,0.0,1.0,0.1
11743,10830,4410551,4412025,1,40.0,1,-9999,-9999,Od,156,HSf,89,3,1,100,1,-9999,-9999,1,1,4,0,1,20,40,40,3,1.26,0.1,33.63,4.3,45.0,77.0,62.0,31.4,0.0,0.0,2.0,0.1,2,47,26,27,10,1.38,0.1,32.89,4.6,71.0,78.0,40.0,27.4,0.0,0.0,1.0,0.1
